"34780 Alameda Margarida Freitas
Canutama - CE
56056-606",3.1,Lontras,11:00 PM,42.928.274/6370-22,BR,Indian,2025-04-18 16:36:54.212,da Bandeira-Rameira Restaurante,2029,10:00 AM,(34) 4363-7578,332,1e360b2e-25cb-c62c-6fb1-18429c72c775
"83467 Travessa Marcelo Franco
Lebon Régis - GO
34597-577",4.2,Guarará,10:00 PM,71.334.463/0006-58,BR,Italian,2025-04-18 16:36:54.239,Paes S.A. Restaurante,4020,10:00 AM,(95) 5426-6799,333,6f99c6b9-1f53-1de1-b768-9339b5191b1b
"3095 Rua Gabrielly
Cacoal - SC
18400-351",4.3,Júlio Mesquita,11:00 PM,54.199.498/9126-96,BR,Indian,2025-04-18 16:36:54.259,Fontes LTDA Restaurante,5018,10:00 AM,(97) 2121-9834,334,24187016-37fa-db6f-fd47-7b21e2d23313
"3426 Ponte Eduardo Godins
São Vicente de Minas - AC
57385-521",0.2,Astorga,11:00 PM,33.233.771/3522-77,BR,French,2025-04-18 16:36:54.280,Barreto EIRELI Restaurante,6030,09:00 AM,(24) 2099-2275,335,b9a9028b-cc61-29e5-5857-0e43193767ad
"42553 Avenida Ryan Ramalho
Formiga - PR
26713-935",2.0,Wenceslau Guimarães,11:00 PM,98.379.537/7499-61,BR,Italian,2025-04-18 16:36:54.300,Viana-Videira Restaurante,7132,10:00 AM,(71) 4817-8926,336,16aedbb9-a19d-cda9-627d-c151480bfb5c
"9189 Viela Emilly Bonfim
Orindiúva - RN
50008-478",1.4,Correntina,08:00 PM,96.670.978/7941-13,BR,Italian,2025-04-18 16:36:54.320,Mendes LTDA Restaurante,1463,09:00 AM,(33) 5928-8116,337,d38ac49f-f350-fc76-b13d-4ca3d55c1f72
"57698 Alameda Bernardo da Rosa
São José do Cedro - RN
22781-616",4.7,Cardeal da Silva,11:00 PM,65.055.576/4648-83,BR,American,2025-04-18 16:36:54.345,"Ornelas, Barreto e da Aldeia Restaurante",7164,09:00 AM,(73) 3675-3185,338,695646b0-781f-4308-4bdf-d11e481d3c52
"8011 Avenida Malu Barbosa
Utinga - RO
12210-085",1.0,Iúna,10:00 PM,50.699.100/3534-74,BR,Japanese,2025-04-18 16:36:54.366,Coqueiro EIRELI Restaurante,8385,11:00 AM,(74) 2241-8725,339,9ee46e2c-4002-c3cf-6978-ba762b50beaf
"3212 Rua Catarina
Barra de São Miguel - MS
04990-132",0.7,Mara Rosa,06:00 PM,68.328.124/9724-75,BR,Chinese,2025-04-18 16:36:54.386,Camacho LTDA Restaurante,7255,08:00 AM,(37) 4397-3888,340,ff319f17-408e-e007-0ddb-946d12dcf11d
"6239 Viela Ana Beatriz da Conceição
Turvolândia - RO
31812-330",2.2,Rafael Godeiro,11:00 PM,05.461.922/3487-06,BR,Chinese,2025-04-18 16:36:54.408,Mendanha LTDA Restaurante,5575,11:00 AM,(38) 3070-4298,341,30337dcd-d973-1b73-9f4f-6fedd5bd1463
"577 Viela Sophie
Ouro Verde de Minas - RJ
38366-238",2.1,Engenheiro Beltrão,10:00 PM,67.668.983/3638-77,BR,French,2025-04-18 16:36:54.430,Vimaranes LTDA Restaurante,6544,08:00 AM,(55) 3329-6596,342,7f391496-1cbc-c0fb-d57a-539195cd5729
"85343 Rodovia Maitê
Toritama - AM
06546-568",0.7,Aroeiras,11:00 PM,17.420.548/5574-38,BR,Italian,2025-04-18 16:36:54.452,Fontes-Teles Restaurante,110,11:00 AM,(28) 3852-7654,343,bb23d691-3d52-26b8-275d-9ff5c2ae0748
"37244 Alameda Gabrielly Antena
Joaquim Pires - CE
39290-765",1.6,Ibiassucê,11:00 PM,54.868.429/6911-24,BR,Italian,2025-04-18 16:36:54.474,Meireles LTDA Restaurante,1133,10:00 AM,(86) 5657-9010,344,a602009f-6f3d-f6d5-21b8-290beeb767b2
"7692 Rodovia Lucas Gabriel Bomdia
João Pinheiro - RS
66221-184",3.4,Clevelândia,11:00 PM,74.524.723/2557-68,BR,American,2025-04-18 16:36:54.496,Costa LTDA Restaurante,9547,11:00 AM,(27) 4337-4072,345,0d1025a9-6134-c0ad-b9f5-5afaea593eb5
"912 Avenida Marli da Rocha
Barros Cassal - DF
52605-054",3.5,Campos Novos Paulista,10:00 PM,98.604.855/8715-42,BR,Indian,2025-04-18 16:36:54.521,Velasques e Associados Restaurante,5026,09:00 AM,(55) 4788-7116,346,902cd9bb-1424-0295-5b73-e754db0174fe
"s/n Rodovia Gustavo
Grão Mogol - PE
43991-447",5.0,São Miguel de Taipu,11:00 PM,95.720.636/4593-41,BR,Indian,2025-04-18 16:36:54.548,Teles S.A. Restaurante,9901,09:00 AM,(21) 4156-0748,347,ac82ab2a-0b8b-4881-5a3a-38dc89902764
"5086 Rua Lorena Vimaranes
Monte Carlo - SC
43360-063",3.4,Ilhéus,06:00 PM,81.289.298/8920-45,BR,Mexican,2025-04-18 16:36:54.573,Solimões-Lobos Restaurante,4832,10:00 AM,(32) 5644-2038,348,afcd26a8-587b-4595-2242-09f95c31eeea
"s/n Rodovia Ana Lívia
Cantá - RN
85149-561",3.8,São Benedito do Rio Preto,08:00 PM,76.370.126/5678-40,BR,Italian,2025-04-18 16:36:54.598,Assumpção-Sanches Restaurante,6611,11:00 AM,(74) 4270-4633,349,74d8eca8-6017-7890-d907-10fab699dea1
